Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,375,9375,3281.25,In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,3500,In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Men's Apparel,40,350,14000,4900,In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Apparel,45,525,23625,11812.5,In-store
Foot Locker,1185732,7/17/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,40,750,30000,12000,In-store
Foot Locker,1185732,7/17/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,35,500,17500,6125,In-store
Foot Locker,1185732,7/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30,425,12750,4462.5,In-store
Foot Locker,1185732,7/17/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,30,375,11250,4500,In-store
Foot Locker,1185732,7/17/2021,Midwest,Missouri,St. Louis,Men's Apparel,40,375,15000,5250,In-store
Foot Locker,1185732,7/17/2021,Midwest,Missouri,St. Louis,Women's Apparel,45,550,24750,12375,In-store
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,40,700,28000,11200,In-store
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,40,475,19000,6650,In-store
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,35,400,14000,4900,In-store
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Men's Apparel,35,300,10500,3675,In-store
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Apparel,40,475,19000,9500,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,35,600,21000,8400,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,30,400,12000,4200,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,1575,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,15,275,4125,1650,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Men's Apparel,25,275,6875,2406.25,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Apparel,30,350,10500,5250,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,35,525,18375,7350,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3062.5,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,250,6250,2187.5,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,225,5625,2250,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Apparel,35,225,7875,2756.25,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Women's Apparel,40,350,14000,7000,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,35,500,17500,7000,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3062.5,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,295,7375,2581.25,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Apparel,45,300,13500,4725,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Apparel,50,400,20000,10000,In-store
Foot Locker,1185732,12/17/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,45,650,29250,11700,In-store
Foot Locker,1185732,12/17/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,35,450,15750,5512.5,In-store
West Gear,1185732,12/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,35,400,14000,4900,In-store
West Gear,1185732,12/17/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,35,350,12250,4900,In-store
West Gear,1185732,12/17/2021,Midwest,Missouri,St. Louis,Men's Apparel,45,350,15750,5512.5,In-store
West Gear,1185732,12/17/2021,Midwest,Missouri,St. Louis,Women's Apparel,50,450,22500,11250,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,25,675,16875,6750,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,475,11875,4156.25,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,2493.75,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,2600,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Men's Apparel,35,375,13125,4593.75,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Apparel,25,475,11875,5937.5,In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,25,725,18125,7250,In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,375,9375,3281.25,In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,2231.25,In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,2400,In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Men's Apparel,35,375,13125,4593.75,In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Apparel,25,450,11250,5625,In-store
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,670,20100,8040,In-store
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,30,350,10500,3675,In-store
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,2800,In-store
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,25,250,6250,2500,In-store
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Men's Apparel,40,300,12000,4200,In-store
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Apparel,30,400,12000,6000,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,625,18750,7500,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,8125,2843.75,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,15,325,4875,1706.25,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,250,5000,2000,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Apparel,35,275,9625,3368.75,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Apparel,25,400,10000,5000,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Men's Street Footwear,35,670,23450,9380,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,30,375,11250,3937.5,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,3062.5,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,25,275,6875,2750,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Men's Apparel,40,300,12000,4200,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Apparel,45,400,18000,9000,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,650,19500,7800,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25,400,10000,3500,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,425,8500,2975,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,3200,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Men's Apparel,35,400,14000,4900,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Apparel,40,575,23000,11500,In-store
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Men's Street Footwear,35,800,28000,11200,In-store
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,30,550,16500,5775,In-store
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,25,475,11875,4156.25,In-store
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,25,425,10625,4250,In-store
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Men's Apparel,35,425,14875,5206.25,In-store
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Women's Apparel,40,600,24000,12000,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,35,750,26250,10500,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,35,525,18375,6431.25,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,30,450,13500,4725,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Men's Apparel,30,350,10500,3675,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Apparel,35,525,18375,9187.5,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,650,19500,7800,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25,450,11250,3937.5,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,1225,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,3250,1300,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,20,325,6500,2275,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Apparel,25,400,10000,5000,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,575,17250,6900,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,300,6000,2100,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,275,5500,2200,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Apparel,30,275,8250,2887.5,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Apparel,35,400,14000,7000,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,550,16500,6600,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,2415,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Apparel,40,350,14000,4900,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Apparel,45,450,20250,10125,In-store
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Men's Street Footwear,40,700,28000,11200,In-store
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,30,500,15000,5250,In-store
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,30,450,13500,4725,In-store
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,30,400,12000,4800,In-store
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Men's Apparel,40,400,16000,5600,In-store
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Women's Apparel,45,500,22500,11250,In-store
West Gear,1128299,1/24/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,350,10500,3675,In-store
West Gear,1128299,1/24/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,40,350,14000,4900,In-store
West Gear,1128299,1/24/2021,West,Utah,Salt Lake City,Women's Street Footwear,40,350,14000,4900,In-store
West Gear,1128299,1/24/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,40,200,8000,2800,In-store
West Gear,1128299,1/24/2021,West,Utah,Salt Lake City,Men's Apparel,45,150,6750,2700,In-store
West Gear,1128299,1/24/2021,West,Utah,Salt Lake City,Women's Apparel,40,400,16000,4800,In-store
West Gear,1128299,2/24/2021,West,Utah,Salt Lake City,Men's Street Footwear,30,450,13500,4725,In-store
West Gear,1128299,2/24/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,40,350,14000,4900,In-store
West Gear,1128299,2/24/2021,West,Utah,Salt Lake City,Women's Street Footwear,40,350,14000,4900,In-store
West Gear,1128299,2/24/2021,West,Oregon,Portland,Women's Athletic Footwear,40,200,8000,2800,In-store
West Gear,1128299,2/24/2021,West,Oregon,Portland,Men's Apparel,45,125,5625,2250,In-store
West Gear,1128299,2/24/2021,West,Oregon,Portland,Women's Apparel,40,325,13000,3900,In-store
West Gear,1128299,3/23/2021,West,Oregon,Portland,Men's Street Footwear,40,475,19000,6650,In-store
West Gear,1128299,3/23/2021,West,Oregon,Portland,Men's Athletic Footwear,50,325,16250,5687.5,In-store
West Gear,1128299,3/23/2021,West,Oregon,Portland,Women's Street Footwear,55,350,19250,6737.5,In-store
West Gear,1128299,3/23/2021,West,Oregon,Portland,Women's Athletic Footwear,50,250,12500,4375,In-store
West Gear,1128299,3/23/2021,West,Oregon,Portland,Men's Apparel,55,100,5500,2200,In-store
West Gear,1128299,3/23/2021,West,Oregon,Portland,Women's Apparel,50,300,15000,4500,In-store
West Gear,1128299,4/24/2021,West,Oregon,Portland,Men's Street Footwear,55,475,26125,9143.75,In-store
West Gear,1128299,4/24/2021,West,Oregon,Portland,Men's Athletic Footwear,60,275,16500,5775,In-store
West Gear,1128299,4/24/2021,West,Oregon,Portland,Women's Street Footwear,60,325,19500,6825,In-store
West Gear,1128299,4/24/2021,West,Oregon,Portland,Women's Athletic Footwear,45,225,10125,3543.75,In-store
West Gear,1128299,4/24/2021,West,Oregon,Portland,Men's Apparel,50,125,6250,2500,In-store
West Gear,1128299,4/24/2021,West,Oregon,Portland,Women's Apparel,65,300,19500,5850,In-store
West Gear,1128299,5/25/2021,West,Oregon,Portland,Men's Street Footwear,50,500,25000,8750,In-store
West Gear,1128299,5/25/2021,West,Oregon,Portland,Men's Athletic Footwear,55,350,19250,6737.5,In-store
West Gear,1128299,5/25/2021,West,Oregon,Portland,Women's Street Footwear,55,350,19250,6737.5,In-store
West Gear,1128299,5/25/2021,West,Oregon,Portland,Women's Athletic Footwear,50,275,13750,4812.5,In-store
West Gear,1128299,5/25/2021,West,Oregon,Portland,Men's Apparel,45,175,7875,3150,In-store
West Gear,1128299,5/25/2021,West,Oregon,Portland,Women's Apparel,60,525,31500,9450,In-store
West Gear,1128299,6/24/2021,West,Oregon,Portland,Men's Street Footwear,55,775,42625,14918.75,In-store
West Gear,1128299,6/24/2021,West,Oregon,Portland,Men's Athletic Footwear,65,650,42250,14787.5,In-store
West Gear,1128299,6/24/2021,West,Oregon,Portland,Women's Street Footwear,80,650,52000,18200,In-store
West Gear,1128299,6/24/2021,West,Oregon,Portland,Women's Athletic Footwear,80,525,42000,14700,In-store
West Gear,1128299,6/24/2021,West,Oregon,Portland,Men's Apparel,90,400,36000,14400,In-store
West Gear,1128299,6/24/2021,West,Oregon,Portland,Women's Apparel,105,700,73500,22050,In-store
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,85,850,72250,25287.5,In-store
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Athletic Footwear,90,700,63000,22050,In-store
West Gear,1128299,7/23/2021,West,Oregon,Portland,Women's Street Footwear,90,650,58500,20475,In-store
West Gear,1128299,7/23/2021,West,Oregon,Portland,Women's Athletic Footwear,85,550,46750,16362.5,In-store
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Apparel,90,600,54000,21600,In-store
West Gear,1128299,7/23/2021,West,Oregon,Portland,Women's Apparel,105,600,63000,18900,In-store
West Gear,1128299,8/24/2021,West,Oregon,Portland,Men's Street Footwear,90,800,72000,25200,In-store
West Gear,1128299,8/24/2021,West,Oregon,Portland,Men's Athletic Footwear,80,775,62000,21700,In-store
West Gear,1128299,8/24/2021,West,Oregon,Portland,Women's Street Footwear,70,650,45500,15925,In-store
West Gear,1128299,8/24/2021,West,Oregon,Portland,Women's Athletic Footwear,70,425,29750,10412.5,In-store
West Gear,1128299,8/24/2021,West,Oregon,Portland,Men's Apparel,70,425,29750,11900,In-store
West Gear,1128299,8/24/2021,West,Oregon,Portland,Women's Apparel,75,250,18750,5625,In-store
West Gear,1128299,9/25/2021,West,Oregon,Portland,Men's Street Footwear,50,450,22500,7875,In-store
West Gear,1128299,9/25/2021,West,Oregon,Portland,Men's Athletic Footwear,55,450,24750,8662.5,In-store
West Gear,1128299,9/25/2021,West,Oregon,Portland,Women's Street Footwear,50,250,12500,4375,In-store
West Gear,1128299,9/25/2021,West,Oregon,Portland,Women's Athletic Footwear,50,200,10000,3500,In-store
West Gear,1128299,9/25/2021,West,Oregon,Portland,Men's Apparel,60,225,13500,5400,In-store
West Gear,1128299,9/25/2021,West,Oregon,Portland,Women's Apparel,45,250,11250,3375,In-store
West Gear,1128299,10/24/2021,West,Oregon,Portland,Men's Street Footwear,40,350,14000,4900,In-store
West Gear,1128299,10/24/2021,West,Oregon,Portland,Men's Athletic Footwear,55,525,28875,10106.25,In-store
West Gear,1128299,10/24/2021,West,Oregon,Portland,Women's Street Footwear,50,350,17500,6125,In-store
West Gear,1128299,10/24/2021,West,Oregon,Portland,Women's Athletic Footwear,45,325,14625,5118.75,In-store
West Gear,1128299,10/24/2021,West,Oregon,Portland,Men's Apparel,55,300,16500,6600,In-store
West Gear,1128299,10/24/2021,West,Oregon,Portland,Women's Apparel,60,350,21000,6300,In-store
West Gear,1128299,11/24/2021,West,Oregon,Portland,Men's Street Footwear,45,575,25875,9056.25,In-store
West Gear,1128299,11/24/2021,West,Oregon,Portland,Men's Athletic Footwear,50,650,32500,11375,In-store
West Gear,1128299,11/24/2021,West,Oregon,Portland,Women's Street Footwear,45,475,21375,7481.25,In-store
West Gear,1128299,11/24/2021,West,Oregon,Portland,Women's Athletic Footwear,55,450,24750,8662.5,In-store
West Gear,1128299,11/24/2021,West,Oregon,Portland,Men's Apparel,75,425,31875,12750,In-store
West Gear,1128299,11/24/2021,West,Oregon,Portland,Women's Apparel,80,550,44000,13200,In-store
West Gear,1128299,12/23/2021,West,Oregon,Portland,Men's Street Footwear,65,750,48750,17062.5,In-store
West Gear,1128299,12/23/2021,West,Oregon,Portland,Men's Athletic Footwear,75,750,56250,19687.5,In-store
West Gear,1128299,12/23/2021,West,Oregon,Portland,Women's Street Footwear,70,550,38500,13475,In-store
West Gear,1128299,12/23/2021,West,Oregon,Portland,Women's Athletic Footwear,70,550,38500,13475,In-store
West Gear,1128299,12/23/2021,West,Oregon,Portland,Men's Apparel,80,475,38000,15200,In-store
West Gear,1128299,12/23/2021,West,Oregon,Portland,Women's Apparel,85,575,48875,14662.5,In-store
West Gear,1128299,1/17/2021,West,Oregon,Portland,Men's Street Footwear,35,400,14000,5600,In-store
West Gear,1128299,1/17/2021,West,Oregon,Portland,Men's Athletic Footwear,45,400,18000,7200,In-store
West Gear,1128299,1/17/2021,West,Oregon,Portland,Women's Street Footwear,45,400,18000,7200,In-store
West Gear,1128299,1/17/2021,West,Oregon,Portland,Women's Athletic Footwear,45,250,11250,4500,In-store
West Gear,1128299,1/17/2021,West,Oregon,Portland,Men's Apparel,50,200,10000,4500,In-store
West Gear,1128299,1/17/2021,West,Oregon,Portland,Women's Apparel,45,450,20250,7087.5,In-store
West Gear,1128299,2/17/2021,West,Oregon,Portland,Men's Street Footwear,35,500,17500,7000,In-store
West Gear,1128299,2/17/2021,West,Oregon,Portland,Men's Athletic Footwear,45,400,18000,7200,In-store
West Gear,1128299,2/17/2021,West,Oregon,Portland,Women's Street Footwear,45,400,18000,7200,In-store
West Gear,1128299,2/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,45,250,11250,4500,In-store
West Gear,1128299,2/17/2021,South,Louisiana,New Orleans,Men's Apparel,50,175,8750,3937.5,In-store
West Gear,1128299,2/17/2021,South,Louisiana,New Orleans,Women's Apparel,45,375,16875,5906.25,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,45,525,23625,9450,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,55,375,20625,8250,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Women's Street Footwear,60,400,24000,9600,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,55,300,16500,6600,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Apparel,60,150,9000,4050,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Women's Apparel,45,350,15750,5512.5,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,50,525,26250,10500,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,55,325,17875,7150,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,55,375,20625,8250,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,40,275,11000,4400,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Apparel,45,175,7875,3543.75,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Women's Apparel,60,350,21000,7350,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Men's Street Footwear,45,550,24750,9900,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,50,400,20000,8000,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Women's Street Footwear,50,400,20000,8000,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,45,325,14625,5850,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Men's Apparel,40,225,9000,4050,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Women's Apparel,65,575,37375,13081.25,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,60,825,49500,19800,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,70,700,49000,19600,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,85,700,59500,23800,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,85,575,48875,19550,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Men's Apparel,95,450,42750,19237.5,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Apparel,110,750,82500,28875,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,90,900,81000,32400,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,95,750,71250,28500,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Street Footwear,95,700,66500,26600,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,90,600,54000,21600,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Apparel,95,650,61750,27787.5,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,110,650,71500,25025,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,95,850,80750,32300,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,85,825,70125,28050,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,75,700,52500,21000,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,75,475,35625,14250,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Men's Apparel,65,475,30875,13893.75,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Apparel,70,300,21000,7350,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Street Footwear,45,500,22500,9000,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,50,500,25000,10000,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Women's Street Footwear,45,300,13500,5400,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,45,250,11250,4500,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Apparel,55,275,15125,6806.25,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Women's Apparel,40,300,12000,4200,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,35,400,14000,5600,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,50,575,28750,11500,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,45,400,18000,7200,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,40,375,15000,6000,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Men's Apparel,50,350,17500,7875,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Women's Apparel,55,400,22000,7700,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,40,625,25000,10000,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,45,700,31500,12600,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,40,525,21000,8400,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,50,500,25000,10000,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Apparel,70,475,33250,14962.5,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Women's Apparel,85,600,51000,17850,Online
West Gear,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,70,800,56000,22400,Online
West Gear,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,80,800,64000,25600,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Women's Street Footwear,75,600,45000,18000,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,75,600,45000,18000,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Apparel,85,525,44625,20081.25,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Women's Apparel,90,625,56250,19687.5,Online
Foot Locker,1197831,1/5/2021,South,Louisiana,New Orleans,Men's Street Footwear,20,675,13500,4050,Online
